Date,Parcipitation,Snowfall,Date,Max Temp,Min Temp,Avg Temp,Avg Temp Drop,HDD,CDD,Percipitation,Snow Fall,Snow Depth
2025-05-01,0,0,2025-05-01,56,35,45.5,-5.1,19,0,0,0,0
2025-05-02,0.27,M,2025-05-02,76,44,60,9,5,0,0.24,0,0
2025-05-03,0.1,M,2025-05-03,74,47,60.5,9.1,4,0,0.2,0,0
2025-05-04,0.47,M,2025-05-04,49,45,47,-4.8,18,0,0.38,0,0
2025-05-05,0.2,M,2025-05-05,56,45,50.5,-1.6,14,0,0.16,0,0
2025-05-06,0.19,M,2025-05-06,70,56,63,10.5,2,0,0.13,0,0
2025-05-07,1.19,M,2025-05-07,72,50,61,8.2,4,0,1.55,0,0
2025-05-08,0.08,M,2025-05-08,68,43,55.5,2.3,9,0,0.05,0,0
2025-05-09,0.04,M,2025-05-09,47,40,43.5,-10,21,0,0.03,0,0
2025-05-10,0.26,M,2025-05-10,44,39,41.5,-12.4,23,0,0.22,0,0
2025-05-11,0,0,2025-05-11,68,38,53,-1.2,12,0,0,0,0
2025-05-12,0,0,2025-05-12,59,35,47,-7.5,18,0,0,0,0
2025-05-13,0,0,2025-05-13,82,52,67,12.2,0,2,0,0,0
2025-05-14,0.08,M,2025-05-14,70,59,64.5,9.3,0,0,0.08,0,0
2025-05-15,0.04,M,2025-05-15,65,58,61.5,6,3,0,0.02,0,0
2025-05-16,0.01,M,2025-05-16,75,60,67.5,11.7,0,3,0.01,0,0
2025-05-17,0.41,M,2025-05-17,81,59,70,13.9,0,5,0.07,0,0
2025-05-18,0.43,M,2025-05-18,76,54,65,8.6,0,0,0.27,0,0
2025-05-19,0.15,M,2025-05-19,58,45,51.5,-5.2,13,0,0.29,0,0
2025-05-20,0,0,2025-05-20,52,37,44.5,-12.5,20,0,0,0,0
2025-05-21,0,0,2025-05-21,57,35,46,-11.3,19,0,0,0,0
2025-05-22,0.57,M,2025-05-22,51,44,47.5,-10.1,17,0,0.6,0,0
2025-05-23,0.15,M,2025-05-23,53,46,49.5,-8.4,15,0,0.12,0,0
2025-05-24,0.42,M,2025-05-24,55,45,50,-8.2,15,0,0.28,0,0
2025-05-25,0.51,M,2025-05-25,52,45,48.5,-10,16,0,0.43,0,0
2025-05-26,0.07,M,2025-05-26,59,38,48.5,-10.3,16,0,0.11,0,0
2025-05-27,0,0,2025-05-27,68,40,54,-5,11,0,0,0,0
2025-05-28,0,0,2025-05-28,71,46,58.5,-0.8,6,0,0,0,0
2025-05-29,0.49,M,2025-05-29,62,52,57,-2.6,8,0,0.52,0,0
2025-05-30,0.01,M,2025-05-30,71,49,60,0.1,5,0,0.02,0,0
2025-05-31,0.08,M,2025-05-31,74,53,63.5,3.3,1,0,0.11,0,0
2025-06-01,0.25,M,2025-06-01,54,45,49.5,-11,15,0,0.17,0,0
2025-06-02,0.07,M,2025-06-02,57,42,49.5,-11.3,15,0,0.04,0,0
2025-06-03,0,0,2025-06-03,69,41,55,-6.1,10,0,0,0,0
2025-06-04,0,0,2025-06-04,79,48,63.5,2.1,1,0,0,0,0
2025-06-05,0,0,2025-06-05,88,64,76,14.3,0,11,0,0,0
2025-06-06,0.52,M,2025-06-06,86,61,73.5,11.5,0,9,1.22,0,0
2025-06-07,1.04,M,2025-06-07,72,59,65.5,3.2,0,1,1.09,0,0
2025-06-08,0.1,M,2025-06-08,76,48,62,-0.6,3,0,0.05,0,0
2025-06-09,0.09,M,2025-06-09,76,51,63.5,0.6,1,0,0.09,0,0
2025-06-10,1.12,M,2025-06-10,78,61,69.5,6.3,0,5,1,0,0
2025-06-11,0.16,M,2025-06-11,74,50,62,-1.5,3,0,0.06,0,0
2025-06-12,0,0,2025-06-12,80,61,70.5,6.7,0,6,0,0,0
2025-06-13,0.05,M,2025-06-13,74,50,62,-2,3,0,0.04,0,0
2025-06-14,0.01,M,2025-06-14,74,53,63.5,-0.8,1,0,0,0,0
2025-06-15,0,0,2025-06-15,64,57,60.5,-4.1,4,0,0,0,0
2025-06-16,0,0,2025-06-16,68,56,62,-2.9,3,0,0,0,0
2025-06-17,0.01,M,2025-06-17,68,61,64.5,-0.6,0,0,0.05,0,0
2025-06-18,0,0,2025-06-18,74,63,68.5,3.1,0,4,T,0,0
2025-06-19,0.26,M,2025-06-19,84,65,74.5,8.9,0,10,1.94,0,0
2025-06-20,0.42,M,2025-06-20,84,59,71.5,5.6,0,7,0.24,0,0
2025-06-21,0,0,2025-06-21,76,57,66.5,0.4,0,2,0,0,0
2025-06-22,0,0,2025-06-22,85,61,73,6.6,0,8,0,0,0
2025-06-23,0.43,M,2025-06-23,88,68,78,11.4,0,13,0.27,0,0
2025-06-24,0,0,2025-06-24,93,65,79,12.2,0,14,0,0,0
